ID,TopicCode,โจทย์ (LaTeX Format),ตัวเลือก (คั่นด้วย |),เฉลย (Correct),ชื่อไฟล์รูป,,,image_id,image_link
[2565-Q11],(K10),ต้องการบีต 5 Hz กับแหล่ง 435 Hz เลือกส้อมเสียงใดจากตาราง และจะดังขึ้นกี่ครั้งใน 2 s,A ; 5 ครั้ง | B ; 5 ครั้ง | C ; 10 ครั้ง | D ; 5 ครั้ง | D ; 10 ครั้ง,C ; 10 ครั้ง,2565-Q11,,,ไม่พบรูปภาพ,
[2565-Q12],(K9),เลเซอร์ในปริซึมหักเหขนานรอยต่อพอดีดังรูป อัตราเร็วแสงในปริซึมเป็นกี่เท่าของสุญญากาศ และถ้ามุมตก 20∘ จะเป็นอย่างไร,0.5; หักเห < 20∘ | 0.5; หักเห > 20∘ | 0.5; สะท้อนหมด | 1; หักเห > 20∘ | 1; สะท้อนหมด,0.5; หักเห > 20∘,2565-Q12,,,ไม่พบรูปภาพ,
[2565-Q13],(K9),$แสง λ=650 nm ผ่านเกรตติง พิจารณา ก.ระยะช่อง 5 μm ข.ถ้า λ ลดระยะแถบเพิ่ม ค.ถ้าระยะแถบลดระยะช่องเพิ่ม$,ข้อ ก. เท่านั้น | ข้อ ข. เท่านั้น | ข้อ ค. เท่านั้น | ข้อ ก. และ ค. | ข้อ ข. และ ค.,ข้อ ก. และ ค.,2565-Q13,,,ไม่พบรูปภาพ,
[2565-Q14],(M1),จากกราฟ σ−ϵ เลือกโลหะที่ทนแรงได้มากกว่าโดยไม่เกินขีดจำกัดแปรผันตรง มอดุลัสของยังเป็นเท่าใด,A; 20 pPa | A; 50 GPa | B; 5 pPa | B; 0.8 GPa | B; 200 GPa,B; 200 GPa,2565-Q14,,,ไม่พบรูปภาพ,
[2565-Q15],(T1),แก๊ส 2 mol ที่ 67∘C ความดันคงที่ 10 kPa ลดอุณหภูมิเหลือ 48∘C งานที่เกิดและปริมาตรเป็นอย่างไร,$3.8R mJ; ลดลง$ | $^{8}_{3}R J; ลดลง$ | $^{8}_{3}R J; เพิ่มขึ้น$ | $0.^{8}_{3}R MJ; ลดลง$ | $0.^{8}_{3}R MJ; เพิ่มขึ้น$,38R J; ลดลง,ไม่มีรูป,,,ไม่พบรูปภาพ,
[2565-Q16],(M1),$ลวดสี่เหลี่ยม 2 g กว้าง 2.4 cm ยาว 2.5 cm วางบนของเหลว γ=0.4 N/m ต้องออกแรงดึงกี่ mN จึงหลุดพอดี$,39 | 49 | 59 | 78 | 98,59,2565-Q16,,,ไม่พบรูปภาพ,
[2565-Q17],(E1),ทรงกลม A ประจุ Q และ B ประจุ NQ มวล M ห่างกัน D หากต้องการให้ A เริ่มขยับลอย ระยะ D ต้องเป็นเท่าใด,$เหมือน; D=MgNkQ^{2}​​$ | $เหมือน; D=QMgk​​$ | $ต่าง; D=MgNkQ^{2}​​$ | $ต่าง; D=QMgk​​$ | $ต่าง; D=MgNkQ​​$,เหมือน; D=MgNkQ2​​,2565-Q17,,,ไม่พบรูปภาพ,
[2565-Q18],(E1),ฝุ่นประจุลบ มวล A>B แต่อัตราส่วน q/m ของ A>B ทิศสนามไฟฟ้าและความเร่งเป็นอย่างไร,$ขึ้น; A<B$ | $ขึ้น; A>B$ | $ลง; A<B$ | $ลง; A=B$ | $ลง; A>B$,ลง; A>B,2565-Q18,,,ไม่พบรูปภาพ,
[2565-Q19],(E2),"แบตเตอรี่ 12 V,1 Ω ต่อตัวต้านทาน 10 Ω สองตัวขนานกัน พลังงานที่ตัวหนึ่งใช้ใน 30 s เป็นกี่จูล","12 | 300 | 432 | 600 | 1,200",300,2565-Q19,,,ไม่พบรูปภาพ,
[2565-Q20],(E2),$พิจารณา ก.ถ้า A มี ρ=0.22 μΩ⋅m พื้นที่ 0.1 mm_{2} ข.ถ้าพื้นที่เท่ากัน ρB​>ρA​ ค.ถ้าตัด C เหลือ 1 m จะได้ 10.4 Ω$,ข้อ ก. เท่านั้น | ข้อ ข. เท่านั้น | ข้อ ก. และ ค. | ข้อ ข. และ ค. | ถูกทุกข้อ,ถูกทุกข้อ,2565-Q20,,,ไม่พบรูปภาพ,
[2565-Q21],(E3),$ขดลวดพื้นที่ 0.5 m_{2} สนาม +z ที่ θ=0∘ ฟลักซ์ 0.4 Wb สนามแม่เหล็กกี่เทสลา และถ้าหมุนถึง 90∘ ฟลักซ์เป็นอย่างไร$,0.2; ลดลง | 0.8; เพิ่มขึ้น | 0.8; ลดลง | 1.25; เพิ่มขึ้น | 1.25; ลดลง,0.8; ลดลง,2565-Q21,,,ไม่พบรูปภาพ,
[2565-Q22],(K9),หมุนแผ่นโพลารอยด์ระนาบ xy สังเกตมุมสว่างสุด วิธีนี้หาแนวโพลาไรซ์ของแสงได้หรือไม่เพราะเหตุใด,ไม่ได้; สว่างคงเดิม | ไม่ได้; มีแผ่นเดียว | ไม่ได้; สนามไฟฟ้าหลายแนว | ได้; ขนานกัน | ได้; ตั้งฉากกัน,ได้; ขนานกัน,2565-Q22,,,ไม่พบรูปภาพ,
[2565-Q23],(A1),จากกราฟ Vs​ กับ f พลังงานจลน์สูงสุดของโฟโตอิเล็กตรอนที่ความถี่ f มีค่ากี่ eV,ehf−2​ | ehf+2​ | ehf+5​ | hf−2e | hf+2e,ehf−2​,2565-Q23,,,ไม่พบรูปภาพ,
[2565-Q24],(N1),816​O+816​O→1428​Si+24​He ปฏิกิริยานี้คืออะไร และมวล mSi​ กี่ u,$ฟิชชัน; mSi​=2mO​+mHe​−^{32}_{9}E$ | $ฟิวชัน; mSi​=2mO​−mHe​−^{32}_{9}E$ | $ฟิวชัน; mSi​=2mO​−mHe​−^{32}_{9}E​$ | $ฟิชชัน; mSi​=2mO​−mHe​−^{32}_{9}E​$,ฟิวชัน; mSi​=2mO​−mHe​−932E​,ไม่มีรูป,,,ไม่พบรูปภาพ,
[2565-Q25],(N1),ควาร์ก (A) + แอนติควาร์ก (B) →γ พิจารณา ก.ประจุเท่า ข.B ยึดเหนี่ยวด้วยกลูออน ค.มวลรวมเท่ากับมวลโฟตอน γ,ข้อ ก. เท่านั้น | ข้อ ข. เท่านั้น | ข้อ ก. และ ข. | ข้อ ก. และ ค. | ข้อ ข. และ ค.,ข้อ ก. และ ข.,ไม่มีรูป,,,ไม่พบรูปภาพ,
[2565-Q26],(K9),$กระจกโค้ง R=28 cm เกิดภาพจริงขนาด 2 เท่า วัตถุอยู่ห่างกระจกกี่เซนติเมตร$,(เติมคำตอบตัวเลข),21,ไม่มีรูป,,,ไม่พบรูปภาพ,
[2565-Q27],(K4),จากกราฟแรงและตำแหน่งระยะ 30 m นาน 10 s กำลังเฉลี่ยเป็นกี่วัตต์,(เติมคำตอบตัวเลข),40,2565-Q27,,,ไม่พบรูปภาพ,
[2565-Q28],(T1),$แก๊สในภาชนะ 0.5 m_{3} จากกราฟ P−T มีแก๊สกี่โมล (R=8.3)$,(เติมคำตอบตัวเลข),2.5,2565-Q28,,,ไม่พบรูปภาพ,
[2565-Q29],(K1),$จากกราฟ v−t ความเร่งเฉลี่ยตั้งแต่ t=5 ถึง t=25 s มีขนาดกี่ m/s2$,(เติมคำตอบตัวเลข),1.5,2565-Q29,,,ไม่พบรูปภาพ,
[2565-Q30],(E3),ลวด Z ยาว 25 cm เคลื่อนที่ 40 cm/s ในสนามแม่เหล็ก 1 T กระแสผ่าน 10 Ω เป็นกี่แอมแปร์,(เติมคำตอบตัวเลข),0.01,2565-Q30,,,ไม่พบรูปภาพ,
